accountid,username,password,roleid
1,amy.adams@moviemagic.com,AmyAdminAdams123,1
2,alex.anderson@moviemagic.com,alexADMINanderson123,1
3,molly.morris@moviemagic.com,mollyMANAGERmorris133,2
4,mike.murphy@moviemagic.com,mikeMANAGERmurphy143,2
5,samuel.smith@moviemagic.com,samuelSTAFFsmith153,3
6,steven.scott@moviemagic.com,stevenSTAFFscott163,3
7,simon.sanders@moviemagic.com,simonSTAFFsanders173,3
8,shepard.smith@moviemagic.com,shepardSTAFFsmith183,3
9,sally.sanders@moviemagic.com,sallySTAFFsanders999,3
10,santana.scott@moviemagic.com,santanaSTAFFscott101,3
11,cashmore@ggmmail.com,cashMoremoremore!789,4
12,cameron.carlos@hoootmail.com,cameronhoooooT!456,4
13,chloehappy@hoootmail.com,Happyhappy369,4
14,CharlesYY@ggmmail.com,CharlesYY111,4
15,Christian789@hoootmail.com,bestHa147852369,4
16,CarlCarl123@ggmamil.com,Car!Car!0147,4
17,CabirneClaireggmmail.com,362CabirneCla2283,4
18,Chase.Cadd@hoootmail.com,672Chase.Cadd2611,4
19,CadmanCurrieggmmail.com,800CadmanCurr9345,4
20,Crisanto.Callingwood@hoootmail.com,245Crisanto.C2113,4
21,Colin.Chad@hoootmail.com,124Colin.Chad7027,4
22,CelierCardellggmmail.com,643CelierCard5820,4
23,Chesny.Clapton@hoootmail.com,383Chesny.Cla9133,4
24,Crosbey.Citwell@whatmail.com,30Crosbey.Ci3298,4
25,Crofton.Clappy@hoootmail.com,915Crofton.Cl7809,4
26,CoenCrizantggmmail.com,449CoenCrizan5898,4
27,Caylei.Cogger@whatmail.com,622Caylei.Cog5324,4
28,Celene.Colboron@whatmail.com,150Celene.Col6026,4
29,CorwantCosmeggmmail.com,627CorwantCos3210,4
30,CornlockCottonggmmail.com,857CornlockCo890,4
